sound_ID,emotion,intensity,Ave,Max,Min,range,Std,Grow_rate,temp
0153_2,Fear,3,59,60,58,2,1,0.034482759,-0.641149584
0221_2,Fear,4,59.5,60,59,1,0.707106781,0.016949153,-0.641149584
0226_2,Sadness,4,60.33333333,62,59,3,1.527525232,0.050847458,-0.651149584
0234_2,Sadness,3,63,63,63,0,0,0,-0.651149584
0235_2,Sadness,2,61,62,60,2,1,0.033333333,-0.651149584
0241_2,Fear,5,64,64,64,0,0,0,-0.606149584
0247_2,Happiness,1,61,62,60,2,1.414213562,0.033333333,-0.606149584
0254_2,Sadness,2,67.25,71,63,8,3.304037934,0.126984127,-0.606149584
0258_2,Happiness,3,67.33333333,69,66,3,1.527525232,0.045454545,-0.616149584
0271_2,Fear,5,64.66666667,66,63,3,1.527525232,0.047619048,-0.616149584
0335_2,Happiness,4,58,59,57,2,1,0.035087719,-0.581149584
0346_2,Happiness,2,57.5,58,57,1,0.707106781,0.01754386,-0.581149584
0372_2,Fear,3,59,59,59,0,0,0,-0.581149584
0373_2,Sadness,1,64,65,63,2,1.414213562,0.031746032,-0.591149584
0419_2,Happiness,2,66.5,67,66,1,0.707106781,0.015151515,-0.591149584
0472_2,Sadness,2,69,70,68,2,1,0.029411765,-0.591149584
0511_2,Happiness,2,75,79,71,8,4,0.112676056,-0.636149584
0515_2,Sadness,2,66,67,65,2,1.414213562,0.030769231,-0.636149584
0516_2,Sadness,3,60,61,59,2,1.414213562,0.033898305,-0.636149584
0518_2,Fear,4,67.66666667,69,66,3,1.527525232,0.045454545,-0.691149584
0521_2,Sadness,2,66,66,66,0,0,0,-0.691149584
0551_2,Fear,1,67,68,66,2,1.414213562,0.03030303,-0.691149584
0553_2,Fear,2,70.5,71,70,1,0.707106781,0.014285714,-0.746149584
0555_2,Sadness,1,61.33333333,65,59,6,3.214550254,0.101694915,-0.746149584
0609_2,Fear,5,61,62,60,2,1,0.033333333,-0.746149584
0659_2,Sadness,1,60.66666667,65,58,7,3.785938897,0.120689655,-0.796149584
0665_2,Fear,4,59,59,59,0,0,0,-0.796149584
0703_2,Happiness,2,60,60,60,0,0,0,-0.796149584
0707_2,Sadness,1,65.33333333,68,63,5,2.516611478,0.079365079,-0.796149584
0814_2,Sadness,2,65,66,64,2,1,0.03125,-0.796149584
0817_2,Fear,2,70.66666667,74,66,8,4.163331999,0.121212121,-0.826149584
0818_2,Sadness,2,69,70,68,2,1.414213562,0.029411765,-0.826149584
0889_2,Happiness,1,66,67,65,2,1,0.030769231,-0.826149584
0934_2,Sadness,4,72,74,69,5,2.645751311,0.072463768,-0.876149584
